id,ユーザ名,取引内容,利用ポイント,取得ポイント,残高ポイント,登録日時,更新日時
1999,asp.net,Google-API利用ポイント,1,0,497,2022-06-15 02:22:58.070979+00:00,2022-06-15 02:23:02.275634+00:00
1998,asp.net,障害発生によるご迷惑に対するポイント付与,0,20,498,2022-06-14 10:40:50.214778+00:00,2022-06-14 10:40:50.434652+00:00
1997,asp.net,障害発生によるご迷惑に対するポイント付与,0,20,478,2022-06-14 10:34:51.622963+00:00,2022-06-14 10:34:51.623961+00:00
1996,asp.net,障害発生によるご迷惑に対するポイント付与,0,20,458,2022-06-14 10:29:04.930933+00:00,2022-06-14 10:29:05.370681+00:00
1627,asp.net,Google-API利用ポイント,3,0,438,2022-04-04 04:21:18.975490+00:00,2022-04-04 04:21:18.976471+00:00
